"rule_number","ossec_group"
"01","syslog"
"02","firewall"
"03","ids"
"04","web-log"
"05","squid"
"06","windows"
"07","ossec"
"07512","mcafee"
"100001","local"
"100001","syslog"
"100002","local"
"100002","syslog"
"100020","local"
"100020","syslog"
"100030","local"
"100030","syslog"
"100031","local"
"100031","syslog"
"100041","local"
"100041","syslog"
"1001","syslog"
"1001","errors"
"1002","syslog"
"1002","errors"
"1003","syslog"
"1003","errors"
"1004","syslog"
"1004","errors"
"10042","local"
"10042","syslog"
"1005","syslog"
"1005","errors"
"1006","syslog"
"1006","errors"
"1007","syslog"
"1007","errors"
"1007","low_diskspace"
"1008","syslog"
"1008","errors"
"1008","service_availability"
"10100","syslog"
"10100","fts"
"10100","authentication_success"
"101002","local"
"101002","syslog"
"101003","local"
"101003","syslog"
"11100","syslog"
"11100","ftpd"
"11101","syslog"
"11101","ftpd"
"11101","authentication_failed"
"11101","access_denied"
"11102","syslog"
"11102","ftpd"
"11103","syslog"
"11103","ftpd"
"11104","syslog"
"11104","ftpd"
"11105","syslog"
"11105","ftpd"
"11106","syslog"
"11106","ftpd"
"11106","connection_attempt"
"11107","syslog"
"11107","ftpd"
"11107","access_denied"
"11108","syslog"
"11108","ftpd"
"11108","client_misconfig"
"11109","syslog"
"11109","ftpd"
"11109","authentication_failures"
"11110","syslog"
"11110","ftpd"
"11111","syslog"
"11111","ftpd"
"11111","authentication_failed"
"11112","syslog"
"11112","ftpd"
"11112","authentication_failed"
"11113","syslog"
"11113","ftpd"
"11113","authentication_failed"
"11200","syslog"
"11200","proftpd"
"11201","syslog"
"11201","proftpd"
"11201","connection_attempt"
"11202","syslog"
"11202","proftpd"
"11203","syslog"
"11203","proftpd"
"11203","invalid_login"
"11204","syslog"
"11204","proftpd"
"11204","authentication_failed"
"11205","syslog"
"11205","proftpd"
"11205","authentication_success"
"11206","syslog"
"11206","proftpd"
"11206","access_denied"
"11207","syslog"
"11207","proftpd"
"11207","access_denied"
"11208","syslog"
"11208","proftpd"
"11209","syslog"
"11209","proftpd"
"11210","syslog"
"11210","proftpd"
"11210","authentication_failures"
"11211","syslog"
"11211","proftpd"
"11212","syslog"
"11212","proftpd"
"11213","syslog"
"11213","proftpd"
"11213","connection_attempt"
"11214","syslog"
"11214","proftpd"
"11215","syslog"
"11215","proftpd"
"11216","syslog"
"11216","proftpd"
"11217","syslog"
"11217","proftpd"
"11218","syslog"
"11218","proftpd"
"11218","service_availability"
"11219","syslog"
"11219","proftpd"
"11220","syslog"
"11220","proftpd"
"11221","syslog"
"11221","proftpd"
"11251","syslog"
"11251","proftpd"
"11251","authentication_failures"
"11252","syslog"
"11252","proftpd"
"11252","recon"
"11253","syslog"
"11253","proftpd"
"11300","syslog"
"11300","pure-ftpd"
"11301","syslog"
"11301","pure-ftpd"
"11301","connection_attempt"
"11302","syslog"
"11302","pure-ftpd"
"11302","authentication_failed"
"11303","syslog"
"11303","pure-ftpd"
"11304","syslog"
"11304","pure-ftpd"
"11305","syslog"
"11305","pure-ftpd"
"11306","syslog"
"11306","pure-ftpd"
"11306","authentication_failures"
"11307","syslog"
"11307","pure-ftpd"
"11307","recon"
"11309","syslog"
"11309","pure-ftpd"
"11309","authentication_success"
"11400","syslog"
"11400","vsftpd"
"11401","syslog"
"11401","vsftpd"
"11401","connection_attempt"
"11402","syslog"
"11402","vsftpd"
"11402","authentication_success"
"11403","syslog"
"11403","vsftpd"
"11403","authentication_failed"
"11404","syslog"
"11404","vsftpd"
"11451","syslog"
"11451","vsftpd"
"11451","authentication_failures"
"11452","syslog"
"11452","vsftpd"
"11452","recon"
"11500","syslog"
"11500","msftp"
"11501","syslog"
"11501","msftp"
"11501","connection_attempt"
"11502","syslog"
"11502","msftp"
"11502","authentication_failed"
"11503","syslog"
"11503","msftp"
"11503","authentication_success"
"11504","syslog"
"11504","msftp"
"11510","syslog"
"11510","msftp"
"11510","authentication_failures"
"11511","syslog"
"11511","msftp"
"11511","recon"
"11512","syslog"
"11512","msftp"
"118114","local"
"118114","syslog"
"12100","syslog"
"12100","named"
"12101","syslog"
"12101","named"
"12101","invalid_access"
"12102","syslog"
"12102","named"
"12102","access_denied"
"12103","syslog"
"12103","named"
"12103","client_misconfig"
"12104","syslog"
"12104","named"
"12104","system_error"
"12105","syslog"
"12105","named"
"12106","syslog"
"12106","named"
"12107","syslog"
"12107","named"
"12108","syslog"
"12108","named"
"12109","syslog"
"12109","named"
"12109","service_availability"
"12110","syslog"
"12110","named"
"12110","system_error"
"12111","syslog"
"12111","named"
"12111","system_error"
"12112","syslog"
"12112","named"
"13100","syslog"
"13100","smbd"
"13101","syslog"
"13101","smbd"
"13102","syslog"
"13102","smbd"
"13102","access_denied"
"13103","syslog"
"13103","smbd"
"13104","syslog"
"13104","smbd"
"13104","access_denied"
"13105","syslog"
"13105","smbd"
"14100","syslog"
